Frequency (GHz),$P_{\alpha}$,$P_{\beta}$,$P_{\alpha}$,$P_{\beta}$,$P_{\alpha}$,$P_{\beta}$,$P_{\alpha}$,$P_{\beta}$
1.60,8.917588,10.764000,10.467162,13.935675,12.005856,16.863298,13.510238,19.643516
1.70,9.106495,11.075109,10.734516,14.464984,12.376982,17.557822,13.970298,20.464792
1.80,9.294004,11.437923,11.023541,14.974825,12.765161,18.329896,14.458632,21.425844
1.90,9.608936,11.806302,11.330233,15.514285,13.148002,19.018476,14.933656,22.374388
2.10,9.972882,12.445437,11.992781,16.797730,14.120101,20.807980,16.095992,24.454261
2.20,10.186600,12.829447,12.387976,17.449189,14.591891,21.715858,16.778784,25.544500
2.30,10.467682,13.232912,12.744690,17.983689,15.096625,22.658224,17.388040,26.818765
2.40,10.714297,13.727207,13.170894,18.913427,15.729035,23.791737,18.107884,28.102516
2.50,11.038578,14.218068,13.654125,19.798036,16.340850,24.985811,18.970344,29.579674
2.60,11.357995,14.719830,14.159141,20.585734,17.140373,26.249849,19.805074,31.201123
2.70,11.710916,15.281046,14.638274,21.646203,17.819981,27.565925,20.741133,32.858371
2.90,12.469443,16.567674,15.921959,23.758873,19.459587,30.718827,22.851076,36.823473
3.00,12.996822,17.279966,16.677438,24.991033,20.448179,32.437212,24.029792,38.866000
3.10,13.391883,18.157461,17.438792,26.342398,21.488356,34.438169,25.411676,41.273432
3.20,13.926914,18.991876,18.263648,28.006647,22.826248,36.384639,26.876067,43.570651
